Hotspot	hotspot_Chr	Merged_hotspots_cM	merged_Hotspot_QTL_count	hotspot_cM_center	str_genotype	pSTR	n_med_STR	n_tx	n_hs_eSTR	p1	hotspotpos
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19955	7	78	177	6.36363636363636	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20076	6	78	177	5.45454545454545	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20124	6	78	177	5.45454545454545	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20125	6	78	177	5.45454545454545	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20143	6	78	177	5.45454545454545	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20187	10	78	177	9.09090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20202	5	78	177	4.54545454545455	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20208	9	78	177	8.18181818181818	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20774	3	78	177	2.72727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_21101	2	78	177	1.81818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18270	6	78	177	5.45454545454545	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18708	10	78	177	9.09090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19067	25	78	177	22.7272727272727	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19264	20	78	177	18.1818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19365	24	78	177	21.8181818181818	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19475	14	78	177	12.7272727272727	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19532	12	78	177	10.9090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18474	4	78	177	3.63636363636364	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19772	7	78	177	6.36363636363636	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18593	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19387	17	78	177	15.4545454545455	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19727	12	78	177	10.9090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19854	7	78	177	6.36363636363636	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20068	8	78	177	7.27272727272727	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20074	7	78	177	6.36363636363636	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20075	7	78	177	6.36363636363636	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20085	7	78	177	6.36363636363636	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20086	7	78	177	6.36363636363636	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20090	6	78	177	5.45454545454545	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20357	4	78	177	3.63636363636364	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20380	4	78	177	3.63636363636364	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20397	3	78	177	2.72727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20402	4	78	177	3.63636363636364	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20413	4	78	177	3.63636363636364	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20504	3	78	177	2.72727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20577	4	78	177	3.63636363636364	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18599	4	78	177	3.63636363636364	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18607	12	78	177	10.9090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18614	5	78	177	4.54545454545455	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18686	6	78	177	5.45454545454545	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18707	10	78	177	9.09090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18791	3	78	177	2.72727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18802	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18825	16	78	177	14.5454545454545	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18834	8	78	177	7.27272727272727	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18873	5	78	177	4.54545454545455	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18877	4	78	177	3.63636363636364	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18880	3	78	177	2.72727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18889	4	78	177	3.63636363636364	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18968	10	78	177	9.09090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19015	4	78	177	3.63636363636364	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19019	4	78	177	3.63636363636364	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19021	11	78	177	10	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19183	7	78	177	6.36363636363636	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19214	3	78	177	2.72727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19216	11	78	177	10	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19275	24	78	177	21.8181818181818	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19279	20	78	177	18.1818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19332	3	78	177	2.72727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19376	11	78	177	10	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19414	21	78	177	19.0909090909091	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19732	19	78	177	17.2727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19397	11	78	177	10	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19922	3	78	177	2.72727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18736	8	78	177	7.27272727272727	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18739	9	78	177	8.18181818181818	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18843	10	78	177	9.09090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19340	5	78	177	4.54545454545455	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19555	15	78	177	13.6363636363636	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19948	6	78	177	5.45454545454545	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19978	6	78	177	5.45454545454545	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20254	6	78	177	5.45454545454545	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20521	3	78	177	2.72727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20542	2	78	177	1.81818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20574	2	78	177	1.81818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20589	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20714	2	78	177	1.81818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20736	2	78	177	1.81818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20755	2	78	177	1.81818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20767	2	78	177	1.81818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20779	2	78	177	1.81818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20813	2	78	177	1.81818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19355	8	78	177	7.27272727272727	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19576	4	78	177	3.63636363636364	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19676	7	78	177	6.36363636363636	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19707	14	78	177	12.7272727272727	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19753	7	78	177	6.36363636363636	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19314	7	78	177	6.36363636363636	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18282	4	78	177	3.63636363636364	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18305	7	78	177	6.36363636363636	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18309	3	78	177	2.72727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18355	5	78	177	4.54545454545455	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18361	6	78	177	5.45454545454545	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18432	6	78	177	5.45454545454545	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19472	4	78	177	3.63636363636364	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19605	4	78	177	3.63636363636364	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18622	6	78	177	5.45454545454545	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18254	4	78	177	3.63636363636364	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18259	6	78	177	5.45454545454545	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18400	4	78	177	3.63636363636364	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18435	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18551	2	78	177	1.81818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18939	3	78	177	2.72727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19331	3	78	177	2.72727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19409	3	78	177	2.72727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19541	3	78	177	2.72727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19785	3	78	177	2.72727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19848	4	78	177	3.63636363636364	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19963	3	78	177	2.72727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20003	2	78	177	1.81818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20088	3	78	177	2.72727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20321	2	78	177	1.81818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18688	6	78	177	5.45454545454545	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18717	5	78	177	4.54545454545455	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19162	3	78	177	2.72727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18157	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19686	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19374	3	78	177	2.72727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20480	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20598	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20688	2	78	177	1.81818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18818	2	78	177	1.81818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_21111	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18158	3	78	177	2.72727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_17841	3	78	177	2.72727272727273	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18094	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18142	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18151	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18201	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18272	2	78	177	1.81818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18273	2	78	177	1.81818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18288	2	78	177	1.81818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18591	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18839	2	78	177	1.81818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20116	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20328	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20442	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20449	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20456	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20560	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20584	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20595	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20617	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20618	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20665	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20711	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20761	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20782	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20797	2	78	177	1.81818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20799	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20863	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20864	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20873	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_20918	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_21150	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_21181	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18909	2	78	177	1.81818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18433	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_17754	2	78	177	1.81818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_17762	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_17832	2	78	177	1.81818181818182	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18722	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18956	5	78	177	4.54545454545455	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19003	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_18597	1	78	177	0.909090909090909	IV_31.5
Yes	IV	30.5, 31, 31.5, 32, 32.5	110	31.5	factor_length	STR_19105	1	78	177	0.909090909090909	IV_31.5
Yes	V	21	20	21	factor_length	STR_23489	3	10	47	15	V_21
Yes	V	21	20	21	factor_length	STR_24090	2	10	47	10	V_21
Yes	V	21	20	21	factor_length	STR_24097	3	10	47	15	V_21
Yes	V	21	20	21	factor_length	STR_24190	4	10	47	20	V_21
Yes	V	21	20	21	factor_length	STR_24333	2	10	47	10	V_21
Yes	V	21	20	21	factor_length	STR_24349	4	10	47	20	V_21
Yes	V	21	20	21	factor_length	STR_24352	2	10	47	10	V_21
Yes	V	21	20	21	factor_length	STR_24365	3	10	47	15	V_21
Yes	V	21	20	21	factor_length	STR_24386	2	10	47	10	V_21
Yes	V	21	20	21	factor_length	STR_24399	3	10	47	15	V_21
Yes	V	21	20	21	factor_length	STR_24405	2	10	47	10	V_21
Yes	V	21	20	21	factor_length	STR_24456	2	10	47	10	V_21
Yes	V	21	20	21	factor_length	STR_24482	2	10	47	10	V_21
Yes	V	21	20	21	factor_length	STR_24494	4	10	47	20	V_21
Yes	V	21	20	21	factor_length	STR_24524	3	10	47	15	V_21
Yes	V	21	20	21	factor_length	STR_24546	4	10	47	20	V_21
Yes	V	21	20	21	factor_length	STR_24550	4	10	47	20	V_21
Yes	V	21	20	21	factor_length	STR_24622	4	10	47	20	V_21
Yes	V	21	20	21	factor_length	STR_24625	2	10	47	10	V_21
Yes	V	21	20	21	factor_length	STR_24029	2	10	47	10	V_21
Yes	V	21	20	21	factor_length	STR_24036	2	10	47	10	V_21
Yes	V	21	20	21	factor_length	STR_23295	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_24910	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_23401	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_24022	2	10	47	10	V_21
Yes	V	21	20	21	factor_length	STR_24705	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_24724	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_24899	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_24917	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_25061	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_25066	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_23577	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_23910	2	10	47	10	V_21
Yes	V	21	20	21	factor_length	STR_23983	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_24042	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_22790	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_22916	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_23145	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_23867	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_24154	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_24200	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_24537	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_24850	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_23522	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_23564	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_23747	1	10	47	5	V_21
Yes	V	21	20	21	factor_length	STR_23678	1	10	47	5	V_21
Yes	II	19, 19.5	54	19.25	factor_length	STR_8262	4	26	102	7.40740740740741	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_8362	4	26	102	7.40740740740741	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_7699	2	26	102	3.7037037037037	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_7705	2	26	102	3.7037037037037	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_7796	1	26	102	1.85185185185185	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_7815	2	26	102	3.7037037037037	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_7817	2	26	102	3.7037037037037	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_7822	2	26	102	3.7037037037037	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_7829	1	26	102	1.85185185185185	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_7842	2	26	102	3.7037037037037	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_7854	1	26	102	1.85185185185185	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_7874	2	26	102	3.7037037037037	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_7886	4	26	102	7.40740740740741	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_7888	3	26	102	5.55555555555556	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_7903	2	26	102	3.7037037037037	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_7909	2	26	102	3.7037037037037	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_7911	2	26	102	3.7037037037037	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_7926	2	26	102	3.7037037037037	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_7994	2	26	102	3.7037037037037	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_8002	2	26	102	3.7037037037037	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_8004	1	26	102	1.85185185185185	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_8029	1	26	102	1.85185185185185	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_8076	2	26	102	3.7037037037037	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_8084	2	26	102	3.7037037037037	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_8121	2	26	102	3.7037037037037	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_8131	2	26	102	3.7037037037037	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_8139	1	26	102	1.85185185185185	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_8194	2	26	102	3.7037037037037	II_19.25
Yes	II	19, 19.5	54	19.25	factor_length	STR_8202	2	26	102	3.7037037037037	II_19.25
