strain	Line	N_generation	N_pSTR	mutation	N_mutation	mutation_rate	gfeature
N2	555	243	457	substitutions	7	3.15170507244419e-05	RNAs & TEs
N2	556	244	1204	deletions	2	3.40395403300474e-06	3'UTR
N2	556	244	1119	deletions	8	1.46500827729677e-05	enhancer
N2	556	244	5675	deletions	15	5.41633566837582e-06	intergenic
N2	556	244	7204	deletions	33	9.38686157963245e-06	intron
N2	556	244	1111	deletions	2	3.68889347951189e-06	promoter
N2	556	244	260	deletions	1	7.88146279949559e-06	pseudogene
N2	556	244	462	deletions	2	8.87091051025477e-06	RNAs & TEs
N2	556	244	1204	insertions	4	6.80790806600948e-06	3'UTR
N2	556	244	364	insertions	1	5.62961628535399e-06	5'UTR
N2	556	244	1119	insertions	1	1.83126034662096e-06	enhancer
N2	556	244	5675	insertions	31	1.119376038131e-05	intergenic
N2	556	244	7204	insertions	20	5.68900701795906e-06	intron
N2	556	244	1111	insertions	1	1.84444673975594e-06	promoter
N2	556	244	260	insertions	2	1.57629255989912e-05	pseudogene
N2	556	244	1204	substitutions	27	4.5953379445564e-05	3'UTR
N2	556	244	364	substitutions	4	2.2518465141416e-05	5'UTR
N2	556	244	1119	substitutions	6	1.09875620797258e-05	enhancer
N2	556	244	5675	substitutions	142	5.12746443272911e-05	intergenic
N2	556	244	7204	substitutions	235	6.68458324610189e-05	intron
N2	556	244	1111	substitutions	7	1.29111271782916e-05	promoter
N2	556	244	260	substitutions	6	4.72887767969735e-05	pseudogene
N2	556	244	462	substitutions	9	3.99190972961465e-05	RNAs & TEs
N2	558	234	1210	deletions	1	1.76591085681995e-06	3'UTR
N2	558	234	1110	deletions	1	1.92500192500193e-06	enhancer
N2	558	234	5700	deletions	21	7.87224471434998e-06	intergenic
N2	558	234	7208	deletions	29	8.59681076107269e-06	intron
N2	558	234	1114	deletions	1	1.91808988936458e-06	promoter
N2	558	234	263	deletions	3	2.43735985180852e-05	pseudogene
N2	558	234	448	deletions	2	9.53907203907204e-06	RNAs & TEs
N2	558	234	1210	insertions	3	5.29773257045984e-06	3'UTR
N2	558	234	1110	insertions	3	5.77500577500578e-06	enhancer
N2	558	234	5700	insertions	23	8.62198230619283e-06	intergenic
N2	558	234	7208	insertions	30	8.89325251145451e-06	intron
N2	558	234	448	insertions	1	4.76953601953602e-06	RNAs & TEs
N2	558	234	1210	substitutions	22	3.88500388500389e-05	3'UTR
N2	558	234	365	substitutions	3	1.75623463294696e-05	5'UTR
N2	558	234	1110	substitutions	2	3.85000385000385e-06	enhancer
N2	558	234	5700	substitutions	113	4.23601739391213e-05	intergenic
N2	558	234	7208	substitutions	182	5.39523985694907e-05	intron
N2	558	234	1114	substitutions	4	7.6723595574583e-06	promoter
N2	558	234	263	substitutions	5	4.06226641968087e-05	pseudogene
N2	558	234	448	substitutions	5	2.38476800976801e-05	RNAs & TEs
N2	563	237	1119	deletions	4	7.5413928198399e-06	enhancer
N2	563	237	5669	deletions	19	7.07080405462233e-06	intergenic
N2	563	237	7185	deletions	29	8.515161391671e-06	intron
N2	563	237	1106	deletions	1	1.90750871731484e-06	promoter
N2	563	237	269	deletions	1	7.84276818345803e-06	pseudogene
N2	563	237	458	deletions	1	4.60634201168168e-06	RNAs & TEs
N2	563	237	1200	insertions	1	1.75808720112518e-06	3'UTR
N2	563	237	5669	insertions	17	6.32650889097788e-06	intergenic
N2	563	237	7185	insertions	27	7.92790888190058e-06	intron
N2	563	237	1106	insertions	2	3.81501743462968e-06	promoter
N2	563	237	458	insertions	1	4.60634201168168e-06	RNAs & TEs
N2	563	237	1200	substitutions	21	3.69198312236287e-05	3'UTR
N2	563	237	366	substitutions	4	2.30568813262318e-05	5'UTR
N2	563	237	1477	substitutions	1	1.42837145656751e-06	CDS
N2	563	237	1119	substitutions	3	5.65604461487992e-06	enhancer
N2	563	237	5669	substitutions	123	4.57741525641341e-05	intergenic
N2	563	237	7185	substitutions	185	5.43208571537633e-05	intron
N2	563	237	1106	substitutions	5	9.53754358657419e-06	promoter
N2	563	237	269	substitutions	7	5.48993772842062e-05	pseudogene
N2	563	237	458	substitutions	5	2.30317100584084e-05	RNAs & TEs
N2	565	238	1087	deletions	4	7.73078320564656e-06	enhancer
N2	565	238	5698	deletions	27	9.954841887615e-06	intergenic
N2	565	238	7320	deletions	39	1.11930017908803e-05	intron
N2	565	238	1106	deletions	5	9.49746987402556e-06	promoter
N2	565	238	258	deletions	1	8.14279200052114e-06	pseudogene
N2	565	238	444	deletions	2	9.4632447573624e-06	RNAs & TEs
N2	565	238	1246	insertions	3	5.0582030565035e-06	3'UTR
N2	565	238	363	insertions	1	5.78743894251916e-06	5'UTR
N2	565	238	5698	insertions	23	8.48005049685722e-06	intergenic
N2	565	238	7320	insertions	34	9.75800156128025e-06	intron
N2	565	238	258	insertions	1	8.14279200052114e-06	pseudogene
N2	565	238	444	insertions	3	1.41948671360436e-05	RNAs & TEs
N2	565	238	1246	substitutions	47	7.92451812185548e-05	3'UTR
N2	565	238	363	substitutions	3	1.73623168275575e-05	5'UTR
N2	565	238	1087	substitutions	4	7.73078320564656e-06	enhancer
N2	565	238	5698	substitutions	204	7.52143609286466e-05	intergenic
N2	565	238	7320	substitutions	311	8.92570142811223e-05	intron
N2	565	238	1106	substitutions	9	1.7095445773246e-05	promoter
N2	565	238	258	substitutions	7	5.6999544003648e-05	pseudogene
N2	565	238	444	substitutions	11	5.20478461654932e-05	RNAs & TEs
N2	566	244	1207	deletions	7	1.1884227253589e-05	3'UTR
N2	566	244	359	deletions	3	1.71240695922188e-05	5'UTR
N2	566	244	1467	deletions	1	1.39685093924257e-06	CDS
N2	566	244	1095	deletions	11	2.05853731566734e-05	enhancer
N2	566	244	5523	deletions	49	1.81803070913586e-05	intergenic
N2	566	244	6928	deletions	69	2.04089842123197e-05	intron
N2	566	244	1095	deletions	5	9.35698779848791e-06	promoter
N2	566	244	258	deletions	1	7.94255941034439e-06	pseudogene
N2	566	244	440	deletions	3	1.39716840536513e-05	RNAs & TEs
N2	566	244	1207	insertions	3	5.09324025153816e-06	3'UTR
N2	566	244	5523	insertions	24	8.9046402080124e-06	intergenic
N2	566	244	6928	insertions	24	7.09877711732859e-06	intron
N2	566	244	258	insertions	3	2.38276782310332e-05	pseudogene
N2	566	244	440	insertions	1	4.65722801788376e-06	RNAs & TEs
N2	566	244	1207	substitutions	29	4.92346557648689e-05	3'UTR
N2	566	244	359	substitutions	3	1.71240695922188e-05	5'UTR
N2	566	244	1467	substitutions	1	1.39685093924257e-06	CDS
N2	566	244	1095	substitutions	3	5.61419267909275e-06	enhancer
N2	566	244	5523	substitutions	156	5.78801613520806e-05	intergenic
N2	566	244	6928	substitutions	223	6.59594707151781e-05	intron
N2	566	244	1095	substitutions	11	2.05853731566734e-05	promoter
N2	566	244	258	substitutions	3	2.38276782310332e-05	pseudogene
N2	566	244	440	substitutions	7	3.26005961251863e-05	RNAs & TEs
N2	567	226	1209	deletions	9	1.64693998550693e-05	3'UTR
N2	567	226	346	deletions	4	2.55767558442887e-05	5'UTR
N2	567	226	1074	deletions	7	1.44196700779486e-05	enhancer
N2	567	226	5480	deletions	56	2.26083586331632e-05	intergenic
N2	567	226	6972	deletions	88	2.79245934433055e-05	intron
N2	567	226	1081	deletions	6	1.22796820380998e-05	promoter
N2	567	226	254	deletions	4	3.48407776461571e-05	pseudogene
N2	567	226	427	deletions	7	3.62686783693602e-05	RNAs & TEs
N2	567	226	1209	insertions	6	1.09795999033795e-05	3'UTR
N2	567	226	1074	insertions	2	4.11990573655675e-06	enhancer
N2	567	226	5480	insertions	69	2.78567276015761e-05	intergenic
N2	567	226	6972	insertions	118	3.74443412080687e-05	intron
N2	567	226	1081	insertions	5	1.02330683650831e-05	promoter
N2	567	226	254	insertions	5	4.35509720576963e-05	pseudogene
N2	567	226	427	insertions	3	1.55437193011544e-05	RNAs & TEs
N2	567	226	1209	substitutions	40	7.31973326891968e-05	3'UTR
N2	567	226	346	substitutions	2	1.27883779221444e-05	5'UTR
N2	567	226	1428	substitutions	2	3.09858456656999e-06	CDS
N2	567	226	1074	substitutions	6	1.23597172096702e-05	enhancer
N2	567	226	5480	substitutions	160	6.45953103804664e-05	intergenic
N2	567	226	6972	substitutions	256	8.12351809259795e-05	intron
N2	567	226	1081	substitutions	8	1.6372909384133e-05	promoter
N2	567	226	254	substitutions	8	6.96815552923141e-05	pseudogene
N2	567	226	427	substitutions	13	6.7356116971669e-05	RNAs & TEs
N2	569	238	1207	deletions	1	1.74054708876094e-06	3'UTR
N2	569	238	360	deletions	2	1.1671335200747e-05	5'UTR
N2	569	238	1113	deletions	3	5.66264241545675e-06	enhancer
N2	569	238	5662	deletions	21	7.79188397365304e-06	intergenic
N2	569	238	7214	deletions	29	8.44529661046564e-06	intron
N2	569	238	266	deletions	1	7.89789600050547e-06	pseudogene
N2	569	238	455	deletions	1	4.61723150798781e-06	RNAs & TEs
N2	569	238	1207	insertions	2	3.48109417752188e-06	3'UTR
N2	569	238	1113	insertions	1	1.88754747181892e-06	enhancer
N2	569	238	5662	insertions	17	6.30771559771913e-06	intergenic
N2	569	238	7214	insertions	34	9.90138223295972e-06	intron
N2	569	238	266	insertions	1	7.89789600050547e-06	pseudogene
N2	569	238	455	insertions	1	4.61723150798781e-06	RNAs & TEs
N2	569	238	1207	substitutions	30	5.22164126628282e-05	3'UTR
N2	569	238	360	substitutions	4	2.33426704014939e-05	5'UTR
N2	569	238	1476	substitutions	1	1.4233335610667e-06	CDS
N2	569	238	1113	substitutions	3	5.66264241545675e-06	enhancer
N2	569	238	5662	substitutions	143	5.30590194396374e-05	intergenic
N2	569	238	7214	substitutions	225	6.55238530122335e-05	intron
N2	569	238	1115	substitutions	7	1.31891321551042e-05	promoter
N2	569	238	266	substitutions	4	3.15915840020219e-05	pseudogene
N2	569	238	455	substitutions	4	1.84689260319512e-05	RNAs & TEs
N2	572	212	1147	deletions	3	6.1686762843184e-06	3'UTR
N2	572	212	355	deletions	2	1.32872707945788e-05	5'UTR
N2	572	212	1104	deletions	5	1.06815695925622e-05	enhancer
N2	572	212	5444	deletions	25	1.08306877573371e-05	intergenic
N2	572	212	6727	deletions	39	1.36734253122449e-05	intron
N2	572	212	1118	deletions	3	6.32868667094205e-06	promoter
N2	572	212	251	deletions	1	9.39637675712245e-06	pseudogene
N2	572	212	439	deletions	2	1.0744831735935e-05	RNAs & TEs
N2	572	212	1147	insertions	3	6.1686762843184e-06	3'UTR
N2	572	212	1104	insertions	1	2.13631391851244e-06	enhancer
N2	572	212	5444	insertions	22	9.53100522645668e-06	intergenic
N2	572	212	6727	insertions	26	9.11561687482996e-06	intron
N2	572	212	439	insertions	3	1.61172476039025e-05	RNAs & TEs
N2	572	212	1147	substitutions	33	6.78554391275024e-05	3'UTR
N2	572	212	355	substitutions	4	2.65745415891576e-05	5'UTR
N2	572	212	1104	substitutions	4	8.54525567404977e-06	enhancer
N2	572	212	5444	substitutions	160	6.93164016469577e-05	intergenic
N2	572	212	6727	substitutions	209	7.32755356476716e-05	intron
N2	572	212	1118	substitutions	10	2.10956222364735e-05	promoter
N2	572	212	251	substitutions	9	8.45673908141021e-05	pseudogene
N2	572	212	439	substitutions	9	4.83517428117076e-05	RNAs & TEs
N2	573	243	1088	deletions	4	7.56475429678044e-06	enhancer
N2	573	243	5474	deletions	14	5.26243777167335e-06	intergenic
N2	573	243	6955	deletions	28	8.28370506459811e-06	intron
N2	573	243	1103	deletions	1	1.86546978125501e-06	promoter
N2	573	243	257	deletions	1	8.00627692110615e-06	pseudogene
N2	573	243	445	deletions	1	4.62384981735793e-06	RNAs & TEs
N2	573	243	1150	insertions	1	1.78922884236894e-06	3'UTR
N2	573	243	1088	insertions	1	1.89118857419511e-06	enhancer
N2	573	243	5474	insertions	15	5.63832618393573e-06	intergenic
N2	573	243	6955	insertions	25	7.39616523624831e-06	intron
N2	573	243	1103	insertions	2	3.73093956251003e-06	promoter
N2	573	243	445	insertions	1	4.62384981735793e-06	RNAs & TEs
N2	573	243	1150	substitutions	18	3.22061191626409e-05	3'UTR
N2	573	243	356	substitutions	2	1.15596245433948e-05	5'UTR
N2	573	243	1088	substitutions	3	5.67356572258533e-06	enhancer
N2	573	243	5474	substitutions	107	4.02200601120749e-05	intergenic
N2	573	243	6955	substitutions	164	4.85188439497889e-05	intron
N2	573	243	1103	substitutions	3	5.59640934376504e-06	promoter
N2	573	243	257	substitutions	5	4.00313846055307e-05	pseudogene
N2	573	243	445	substitutions	8	3.69907985388635e-05	RNAs & TEs
N2	574	237	1224	deletions	3	5.17084470919169e-06	3'UTR
N2	574	237	1448	deletions	1	1.4569783434739e-06	CDS
N2	574	237	1070	deletions	2	3.94337316140226e-06	enhancer
N2	574	237	5586	deletions	36	1.35963779249208e-05	intergenic
N2	574	237	7104	deletions	52	1.54426578477211e-05	intron
N2	574	237	1094	deletions	3	5.78529609145396e-06	promoter
N2	574	237	427	deletions	1	4.94076028419253e-06	RNAs & TEs
N2	574	237	1224	insertions	4	6.89445961225559e-06	3'UTR
N2	574	237	5586	insertions	33	1.24633464311774e-05	intergenic
N2	574	237	7104	insertions	63	1.87093739308929e-05	intron
N2	574	237	1094	insertions	2	3.85686406096931e-06	promoter
N2	574	237	254	insertions	3	2.491777135453e-05	pseudogene
N2	574	237	427	insertions	1	4.94076028419253e-06	RNAs & TEs
N2	574	237	1224	substitutions	45	7.75626706378754e-05	3'UTR
N2	574	237	357	substitutions	3	1.77286104315144e-05	5'UTR
N2	574	237	1070	substitutions	6	1.18301194842068e-05	enhancer
N2	574	237	5586	substitutions	189	7.13809841058342e-05	intergenic
N2	574	237	7104	substitutions	278	8.25588246474322e-05	intron
N2	574	237	1094	substitutions	7	1.34990242133926e-05	promoter
N2	574	237	254	substitutions	6	4.98355427090601e-05	pseudogene
N2	574	237	427	substitutions	12	5.92891234103104e-05	RNAs & TEs
N2	575	230	1101	deletions	3	5.92346878331951e-06	enhancer
N2	575	230	5462	deletions	15	5.97010173053349e-06	intergenic
N2	575	230	6978	deletions	31	9.65768190711179e-06	intron
N2	575	230	1099	deletions	3	5.93424852632828e-06	promoter
N2	575	230	252	deletions	3	2.5879917184265e-05	pseudogene
N2	575	230	444	deletions	1	4.89620054837446e-06	RNAs & TEs
N2	575	230	1173	insertions	1	1.85329330219801e-06	3'UTR
N2	575	230	361	insertions	1	6.02191978802842e-06	5'UTR
N2	575	230	5462	insertions	20	7.96013564071132e-06	intergenic
N2	575	230	6978	insertions	26	8.09999127693247e-06	intron
N2	575	230	1099	insertions	1	1.97808284210943e-06	promoter
N2	575	230	444	insertions	1	4.89620054837446e-06	RNAs & TEs
N2	575	230	1173	substitutions	21	3.89191593461581e-05	3'UTR
N2	575	230	361	substitutions	2	1.20438395760568e-05	5'UTR
N2	575	230	1101	substitutions	1	1.97448959443984e-06	enhancer
N2	575	230	5462	substitutions	86	3.42285832550587e-05	intergenic
N2	575	230	6978	substitutions	161	5.01576382917741e-05	intron
N2	575	230	1099	substitutions	3	5.93424852632828e-06	promoter
N2	575	230	252	substitutions	3	2.5879917184265e-05	pseudogene
N2	575	230	444	substitutions	3	1.46886016451234e-05	RNAs & TEs
N2	577	227	1196	deletions	3	5.52502467844356e-06	3'UTR
N2	577	227	352	deletions	1	6.25750901081298e-06	5'UTR
N2	577	227	1421	deletions	3	4.65019670332055e-06	CDS
N2	577	227	1054	deletions	5	1.04489714032551e-05	enhancer
N2	577	227	5485	deletions	54	2.16850923021938e-05	intergenic
N2	577	227	6967	deletions	99	3.12992211868538e-05	intron
N2	577	227	1087	deletions	9	1.8237155976316e-05	promoter
N2	577	227	253	deletions	2	1.741219898661e-05	pseudogene
N2	577	227	417	deletions	3	1.58463537540012e-05	RNAs & TEs
N2	577	227	1196	insertions	8	1.47333991425162e-05	3'UTR
N2	577	227	1421	insertions	3	4.65019670332055e-06	CDS
N2	577	227	1054	insertions	1	2.08979428065101e-06	enhancer
N2	577	227	5485	insertions	65	2.61024259193074e-05	intergenic
N2	577	227	6967	insertions	110	3.47769124298376e-05	intron
N2	577	227	1087	insertions	7	1.41844546482458e-05	promoter
N2	577	227	253	insertions	5	4.35304974665251e-05	pseudogene
N2	577	227	417	insertions	5	2.6410589590002e-05	RNAs & TEs
N2	577	227	1196	substitutions	38	6.99836459269518e-05	3'UTR
N2	577	227	352	substitutions	3	1.87725270324389e-05	5'UTR
N2	577	227	1421	substitutions	2	3.10013113554703e-06	CDS
N2	577	227	1054	substitutions	3	6.26938284195304e-06	enhancer
N2	577	227	5485	substitutions	166	6.66615800400773e-05	intergenic
N2	577	227	6967	substitutions	267	8.44130510796967e-05	intron
N2	577	227	1087	substitutions	6	1.21581039842107e-05	promoter
N2	577	227	253	substitutions	7	6.09426964531351e-05	pseudogene
N2	577	227	417	substitutions	5	2.6410589590002e-05	RNAs & TEs
N2	578	243	1219	deletions	5	8.43975869041952e-06	3'UTR
N2	578	243	1059	deletions	6	1.16578649786078e-05	enhancer
N2	578	243	5556	deletions	39	1.44432889813259e-05	intergenic
N2	578	243	7080	deletions	60	1.74373997349515e-05	intron
N2	578	243	1083	deletions	3	5.69975947015036e-06	promoter
N2	578	243	257	deletions	2	1.60125538422123e-05	pseudogene
N2	578	243	434	deletions	3	1.42231325027024e-05	RNAs & TEs
N2	578	243	1219	insertions	2	3.37590347616781e-06	3'UTR
N2	578	243	1440	insertions	1	1.42889803383631e-06	CDS
N2	578	243	1059	insertions	2	3.88595499286927e-06	enhancer
N2	578	243	5556	insertions	40	1.48136297244369e-05	intergenic
N2	578	243	7080	insertions	59	1.71467764060357e-05	intron
N2	578	243	1083	insertions	1	1.89991982338345e-06	promoter
N2	578	243	257	insertions	3	2.40188307633184e-05	pseudogene
N2	578	243	434	insertions	3	1.42231325027024e-05	RNAs & TEs
N2	578	243	1219	substitutions	41	6.92060212614401e-05	3'UTR
N2	578	243	358	substitutions	3	1.72425684529968e-05	5'UTR
N2	578	243	1440	substitutions	1	1.42889803383631e-06	CDS
N2	578	243	1059	substitutions	4	7.77190998573855e-06	enhancer
N2	578	243	5556	substitutions	192	7.11054226772969e-05	intergenic
N2	578	243	7080	substitutions	285	8.28276487410197e-05	intron
N2	578	243	1083	substitutions	9	1.70992784104511e-05	promoter
N2	578	243	257	substitutions	8	6.40502153688492e-05	pseudogene
N2	578	243	434	substitutions	13	6.1633574178377e-05	RNAs & TEs
N2	580	241	1221	deletions	2	3.3983436473063e-06	3'UTR
N2	580	241	349	deletions	1	5.94466703919913e-06	5'UTR
N2	580	241	1070	deletions	5	9.69480746112382e-06	enhancer
N2	580	241	5560	deletions	32	1.19406549449237e-05	intergenic
N2	580	241	7190	deletions	51	1.47161514089994e-05	intron
N2	580	241	1101	deletions	3	5.65310298823024e-06	promoter
N2	580	241	264	deletions	3	2.35760090531875e-05	pseudogene
N2	580	241	429	deletions	3	1.45083132635e-05	RNAs & TEs
N2	580	241	1221	insertions	3	5.09751547095945e-06	3'UTR
N2	580	241	1070	insertions	3	5.81688447667429e-06	enhancer
N2	580	241	5560	insertions	35	1.30600913460103e-05	intergenic
N2	580	241	7190	insertions	57	1.64474633394699e-05	intron
N2	580	241	264	insertions	1	7.85866968439582e-06	pseudogene
N2	580	241	429	insertions	4	1.93444176846666e-05	RNAs & TEs
N2	580	241	1221	substitutions	45	7.64627320643918e-05	3'UTR
N2	580	241	349	substitutions	2	1.18893340783983e-05	5'UTR
N2	580	241	1070	substitutions	5	9.69480746112382e-06	enhancer
N2	580	241	5560	substitutions	191	7.12707842025135e-05	intergenic
N2	580	241	7190	substitutions	290	8.36800766394081e-05	intron
N2	580	241	1101	substitutions	10	1.88436766274341e-05	promoter
N2	580	241	264	substitutions	6	4.7152018106375e-05	pseudogene
N2	580	241	429	substitutions	9	4.35249397905e-05	RNAs & TEs
N2	581	243	1198	deletions	3	5.15262062284878e-06	3'UTR
N2	581	243	356	deletions	5	2.88990613584871e-05	5'UTR
N2	581	243	1444	deletions	2	2.84987973507518e-06	CDS
N2	581	243	1066	deletions	4	7.72087492954702e-06	enhancer
N2	581	243	5492	deletions	48	1.7983509122135e-05	intergenic
N2	581	243	6936	deletions	72	2.1359306249733e-05	intron
N2	581	243	1083	deletions	6	1.13995189403007e-05	promoter
N2	581	243	251	deletions	1	8.19766202678996e-06	pseudogene
N2	581	243	433	deletions	4	1.9007973845028e-05	RNAs & TEs
N2	581	243	1198	insertions	6	1.03052412456976e-05	3'UTR
N2	581	243	1066	insertions	2	3.86043746477351e-06	enhancer
N2	581	243	5492	insertions	53	1.98567913223574e-05	intergenic
N2	581	243	6936	insertions	109	3.23356164058458e-05	intron
N2	581	243	1083	insertions	4	7.59967929353381e-06	promoter
N2	581	243	251	insertions	5	4.09883101339498e-05	pseudogene
N2	581	243	433	insertions	4	1.9007973845028e-05	RNAs & TEs
N2	581	243	1198	substitutions	42	7.21366887198829e-05	3'UTR
N2	581	243	356	substitutions	3	1.73394368150922e-05	5'UTR
N2	581	243	1444	substitutions	2	2.84987973507518e-06	CDS
N2	581	243	1066	substitutions	4	7.72087492954702e-06	enhancer
N2	581	243	5492	substitutions	169	6.3316938367517e-05	intergenic
N2	581	243	6936	substitutions	239	7.09010304678637e-05	intron
N2	581	243	1083	substitutions	3	5.69975947015036e-06	promoter
N2	581	243	251	substitutions	6	4.91859721607398e-05	pseudogene
N2	581	243	433	substitutions	11	5.2271928073827e-05	RNAs & TEs
N2	582	208	1154	deletions	14	2.91627782962272e-05	3'UTR
N2	582	208	331	deletions	1	7.2623750871485e-06	5'UTR
N2	582	208	1415	deletions	1	1.69883120413156e-06	CDS
N2	582	208	1058	deletions	5	1.13603315399157e-05	enhancer
N2	582	208	5116	deletions	76	3.57099897756661e-05	intergenic
N2	582	208	6373	deletions	131	4.9412183611148e-05	intron
N2	582	208	1073	deletions	8	1.79224317155352e-05	promoter
N2	582	208	237	deletions	8	8.11424862057773e-05	pseudogene
N2	582	208	405	deletions	5	2.96771130104463e-05	RNAs & TEs
N2	582	208	1154	insertions	20	4.16611118517531e-05	3'UTR
N2	582	208	331	insertions	5	3.63118754357425e-05	5'UTR
N2	582	208	1415	insertions	3	5.09649361239467e-06	CDS
N2	582	208	1058	insertions	6	1.36323978478988e-05	enhancer
N2	582	208	5116	insertions	91	4.27580140734949e-05	intergenic
N2	582	208	6373	insertions	141	5.31841060242127e-05	intron
N2	582	208	1073	insertions	5	1.12015198222095e-05	promoter
N2	582	208	237	insertions	1	1.01428107757222e-05	pseudogene
N2	582	208	405	insertions	4	2.37416904083571e-05	RNAs & TEs
N2	582	208	1154	substitutions	34	7.08238901479803e-05	3'UTR
N2	582	208	331	substitutions	1	7.2623750871485e-06	5'UTR
N2	582	208	1058	substitutions	5	1.13603315399157e-05	enhancer
N2	582	208	5116	substitutions	133	6.24924821074156e-05	intergenic
N2	582	208	6373	substitutions	185	6.97805646416975e-05	intron
N2	582	208	1073	substitutions	3	6.72091189332569e-06	promoter
N2	582	208	237	substitutions	3	3.04284323271665e-05	pseudogene
N2	582	208	405	substitutions	8	4.74833808167141e-05	RNAs & TEs
N2	584	244	1245	deletions	4	6.5837118967674e-06	3'UTR
N2	584	244	1087	deletions	3	5.65551148445865e-06	enhancer
N2	584	244	5653	deletions	41	1.48622666624134e-05	intergenic
N2	584	244	7245	deletions	49	1.38591906232676e-05	intron
N2	584	244	1096	deletions	4	7.47876032068924e-06	promoter
N2	584	244	443	deletions	1	4.62568922769493e-06	RNAs & TEs
N2	584	244	1245	insertions	3	4.93778392257555e-06	3'UTR
N2	584	244	357	insertions	3	1.72200027552004e-05	5'UTR
N2	584	244	5653	insertions	23	8.33736910330508e-06	intergenic
N2	584	244	7245	insertions	46	1.30106687483737e-05	intron
N2	584	244	261	insertions	1	7.85126562401859e-06	pseudogene
N2	584	244	443	insertions	3	1.38770676830848e-05	RNAs & TEs
N2	584	244	1245	substitutions	48	7.90045427612088e-05	3'UTR
N2	584	244	357	substitutions	4	2.29600036736006e-05	5'UTR
N2	584	244	1087	substitutions	5	9.42585247409776e-06	enhancer
N2	584	244	5653	substitutions	177	6.41614926645652e-05	intergenic
N2	584	244	7245	substitutions	308	8.71149124891106e-05	intron
N2	584	244	1096	substitutions	10	1.86969008017231e-05	promoter
N2	584	244	261	substitutions	5	3.9256328120093e-05	pseudogene
N2	584	244	443	substitutions	10	4.62568922769493e-05	RNAs & TEs
N2	585	244	1236	deletions	4	6.63165154650114e-06	3'UTR
N2	585	244	1084	deletions	4	7.56155102534632e-06	enhancer
N2	585	244	5662	deletions	33	1.19432975661731e-05	intergenic
N2	585	244	7295	deletions	47	1.32023955325341e-05	intron
N2	585	244	1102	deletions	4	7.4380411174913e-06	promoter
N2	585	244	258	deletions	1	7.94255941034439e-06	pseudogene
N2	585	244	453	deletions	4	1.80943075308508e-05	RNAs & TEs
N2	585	244	1236	insertions	2	3.31582577325057e-06	3'UTR
N2	585	244	1084	insertions	1	1.89038775633658e-06	enhancer
N2	585	244	5662	insertions	24	8.68603459358044e-06	intergenic
N2	585	244	7295	insertions	33	9.26976707603456e-06	intron
N2	585	244	1102	insertions	2	3.71902055874565e-06	promoter
N2	585	244	258	insertions	1	7.94255941034439e-06	pseudogene
N2	585	244	453	insertions	4	1.80943075308508e-05	RNAs & TEs
N2	585	244	1236	substitutions	50	8.28956443312643e-05	3'UTR
N2	585	244	363	substitutions	4	2.25804994806485e-05	5'UTR
N2	585	244	1084	substitutions	6	1.13423265380195e-05	enhancer
N2	585	244	5662	substitutions	192	6.94882767486435e-05	intergenic
N2	585	244	7295	substitutions	303	8.51133158799537e-05	intron
N2	585	244	1102	substitutions	9	1.67355925143554e-05	promoter
N2	585	244	258	substitutions	6	4.76553564620663e-05	pseudogene
N2	585	244	453	substitutions	10	4.5235768827127e-05	RNAs & TEs
N2	586	243	1208	deletions	4	6.81328863815987e-06	3'UTR
N2	586	243	353	deletions	2	1.16578649786078e-05	5'UTR
N2	586	243	1430	deletions	2	2.87778065555843e-06	CDS
N2	586	243	1072	deletions	7	1.34359068853265e-05	enhancer
N2	586	243	5505	deletions	43	1.60721827893086e-05	intergenic
N2	586	243	6993	deletions	80	2.3539118189324e-05	intron
N2	586	243	1090	deletions	4	7.55087401366708e-06	promoter
N2	586	243	255	deletions	2	1.61381424997983e-05	pseudogene
N2	586	243	424	deletions	2	9.70572249398245e-06	RNAs & TEs
N2	586	243	1208	insertions	4	6.81328863815987e-06	3'UTR
N2	586	243	353	insertions	2	1.16578649786078e-05	5'UTR
N2	586	243	1072	insertions	2	3.8388305386647e-06	enhancer
N2	586	243	5505	insertions	69	2.57902468014487e-05	intergenic
N2	586	243	6993	insertions	108	3.17778095555873e-05	intron
N2	586	243	1090	insertions	2	3.77543700683354e-06	promoter
N2	586	243	255	insertions	6	4.84144274993948e-05	pseudogene
N2	586	243	424	insertions	6	2.91171674819474e-05	RNAs & TEs
N2	586	243	1208	substitutions	42	7.15395307006786e-05	3'UTR
N2	586	243	353	substitutions	3	1.74867974679117e-05	5'UTR
N2	586	243	1430	substitutions	1	1.43889032777922e-06	CDS
N2	586	243	1072	substitutions	5	9.59707634666175e-06	enhancer
N2	586	243	5505	substitutions	183	6.84002197777554e-05	intergenic
N2	586	243	6993	substitutions	255	7.50309392284701e-05	intron
N2	586	243	1090	substitutions	9	1.69894665307509e-05	promoter
N2	586	243	255	substitutions	5	4.03453562494957e-05	pseudogene
N2	586	243	424	substitutions	9	4.3675751222921e-05	RNAs & TEs
N2	587	227	1159	deletions	15	2.8507029833557e-05	3'UTR
N2	587	227	346	deletions	2	1.2732041455527e-05	5'UTR
N2	587	227	1443	deletions	3	4.57929973348476e-06	CDS
N2	587	227	1047	deletions	11	2.31414277840189e-05	enhancer
N2	587	227	5267	deletions	58	2.42554212957581e-05	intergenic
